BBLCOUNT        1.0         0
0x7fc1aaddd75b 1 2 2
0x7fc1aaddd730 1 12 43
0x7fc1aaddd793 1 1 5
0x7fc1aaddd770 1 2 9
0x7fc1aaddd779 1 4 14
0x7fc1aaddd787 1 2 12
0x7fc1aaddd798 1 3 10
0x7fc1aaddd7c6 0 4 13
0x7fc1aaddd7b0 1 2 10
0x7fc1aaddd7ba 0 3 12
0x7fc1aaddd7d9 1 1 5
0x7fc1aadddaa4 1 7 40
0x7fc1aadddc51 1 7 29
0x7fc1aaddd940 1 8 34
0x7fc1aaddd962 1 15 106
0x7fc1aaddd9cc 1 8 35
0x7fc1aaddd9ef 1 3 15
0x7fc1aaddd9fe 1 2 5
0x7fc1aaddda9a 1 2 10
0x7fc1aaddda97 14 1 3
0x7fc1aaddda97 1 1 3
0x7fc1aadddc0d 1 10 68
0x7fc1aadddacc 1 8 38
0x7fc1aadddaf2 1 3 17
0x7fc1aadddb03 1 3 15
0x7fc1aadddb12 0 12 68
0x7fc1aadddc98 1 3 16
0x7fc1aadddb2b 1 9 43
0x7fc1aadddb56 1 2 8
0x7fc1aadddb5e 0 15 75
0x7fc1aadddc70 1 3 15
0x7fc1aadddbf6 0 3 18
0x7fc1aadddbb2 1 12 68
0x7fc1aadddba9 1 2 9
0x7fc1aadddc7f 1 4 20
0x7fc1aaddda03 1 25 151
0x7fc1aadddb63 1 14 70
0x7fc1aade0f90 2 8 22
0x7fc1aade0fa6 2 3 13
0x7fc1aade0fb3 0 5 24
0x7fc1aade1009 2 2 5
0x7fc1aade100e 2 2 6
0x7fc1aade1014 2 5 21
0x7fc1aade1029 2 2 11
0x7fc1aade1034 2 2 10
0x7fc1aade0fd3 2 5 16
0x7fc1aade2050 2 6 17
0x7fc1aade2061 2 2 4
0x7fc1aade2065 0 4 17
0x7fc1aade2088 2 2 5
0x7fc1aade208d 2 3 13
0x7fc1aade209a 0 1 2
0x7fc1aade209c 2 6 15
0x7fc1aade20ab 0 1 1
0x7fc1aade2065 2 4 17
0x7fc1aade2076 2 4 15
0x7fc1aade2085 2 2 3
0x7fc1aade2100 2 2 10
0x7fc1aade2540 3 3 7
0x7fc1aade2530 3 5 16
0x7fc1aade2547 3 2 6
0x7fc1aade2583 3 5 18
0x7fc1aade2595 3 2 4
0x7fc1aade28d0 3 4 13
0x7fc1aade28dd 3 2 6
0x7fc1aade2935 3 2 3
0x7fc1aade2930 3 2 5
0x7fc1aade2904 0 5 17
0x7fc1aade28fe 3 2 6
0x7fc1aade28e8 3 5 22
0x7fc1aade28e3 0 2 5
0x7fc1aade53a0 4 7 33
0x7fc1aade53c1 4 7 22
0x7fc1aade5418 4 1 2
0x7fc1aade5414 4 2 4
0x7fc1aade5400 4 5 20
0x7fc1aade6cd5 2 3 15
0x7fc1aade6bf3 1 52 226
0x7fc1aade6ce4 2 2 8
0x7fc1aade6cec 2 2 9
0x7fc1aade6dc0 2 2 8
0x7fc1aade6be0 1 4 19
0x7fc1aade6bf3 1 52 226
0x7fc1aade6be0 1 4 19
0x7fc1aade8274 1 3 9
0x7fc1aaffcda0 1 4 16
0x7fc1aaffcdb5 1 2 5
0x7fc1aaffcdb0 0 1 5
0x7fc1aaffcec0 1 1 6
0x7fc1aaffcec6 1 2 10
0x7fc1aaffcdc0 1 2 12
0x7fc1aaffcf9a 0 3 12
0x7fc1aaffcf90 1 2 10
0x7fc1aaffcfa6 0 4 13
0x7fc1aaffcfb9 1 1 5
0x7fc1aaffced0 1 2 12
0x7fc1aaffcf10 1 12 43
0x7fc1aaffcf78 1 3 10
0x7fc1aaffcefb 1 2 2
0x7fc1aaffcee0 1 7 27
0x7fc1aaffcf73 1 1 5
0x7fc1aaffcf67 1 2 12
0x7fc1aaffcf59 1 4 14
0x7fc1aaffcf50 1 2 9
0x7fc1aaffcf3b 1 2 2
0x7fc1aaffd371 1 3 6
0x7fc1aaffd361 0 3 14
0x7fc1aaffd350 1 6 17
0x7fc1aaffd9e0 1 3 14
0x7fc1aaffd9f0 1 3 9
0x7fc1ab21f3e0 33 1 6
0x7fc1ab21f3e6 1 2 10
0x7fc1ab21f440 4 1 6
