bb;bb;icount;execcount;ilen;len;nhmnp1;nhmnp1err;nhmnp1werr;nhmlbr2;nhmlbr2err;nhmlbr2werr;nhmlbr1;nhmlbr1err;nhmlbr1werr;nhmnp2;nhmnp2err;nhmnp2werr
12448;12448;49;7;7;29;0;1.0;7.0;0.0;1.0;7.0;0.0;1.0;7.0;0;1.0;7.0
12513;12513;63;7;9;38;0;1.0;7.0;0.0;1.0;7.0;0.0;1.0;7.0;0;1.0;7.0
12684;12684;21;7;3;12;0;1.0;7.0;0.0;1.0;7.0;0.0;1.0;7.0;0;1.0;7.0
12704;12704;35;7;5;20;0;1.0;7.0;0.0;1.0;7.0;0.0;1.0;7.0;0;1.0;7.0
12724;12724;21;7;3;8;0;1.0;7.0;0.0;1.0;7.0;0.0;1.0;7.0;0;1.0;7.0
12732;12732;7;7;1;2;0;1.0;7.0;0.0;1.0;7.0;0.0;1.0;7.0;0;1.0;7.0
13328;13328;35;5;7;25;0;1.0;5.0;0.0;1.0;5.0;0.0;1.0;5.0;0;1.0;5.0
13353;13353;10;5;2;8;0;1.0;5.0;0.0;1.0;5.0;0.0;1.0;5.0;0;1.0;5.0
13361;13361;20;5;4;14;0;1.0;5.0;0.0;1.0;5.0;0.0;1.0;5.0;0;1.0;5.0
13375;13375;25;5;5;18;0;1.0;5.0;0.0;1.0;5.0;0.0;1.0;5.0;0;1.0;5.0
13424;13424;10;2;5;24;0;1.0;2.0;0.0;1.0;2.0;0.0;1.0;2.0;0;1.0;2.0
13448;13448;4;2;2;5;1000000;499999.0;999998.0;0.0;1.0;2.0;0.0;1.0;2.0;1000000;499999.0;999998.0
13712;13712;33;3;11;48;1090908;363635.0;1090905.0;0.0;1.0;3.0;0.0;1.0;3.0;1090908;363635.0;1090905.0
13760;13760;6;3;2;11;0;1.0;3.0;0.0;1.0;3.0;0.0;1.0;3.0;0;1.0;3.0
13771;13771;18;3;6;26;0;1.0;3.0;0.0;1.0;3.0;0.0;1.0;3.0;0;1.0;3.0
13797;13797;6;3;2;13;0;1.0;3.0;0.0;1.0;3.0;0.0;1.0;3.0;0;1.0;3.0
13810;13810;36;3;12;52;666664;222220.333333;666661.0;0.0;1.0;3.0;0.0;1.0;3.0;666664;222220.333333;666661.0
13862;13862;21;3;7;27;0;1.0;3.0;0.0;1.0;3.0;0.0;1.0;3.0;0;1.0;3.0
13910;13910;18;3;6;21;0;1.0;3.0;0.0;1.0;3.0;0.0;1.0;3.0;0;1.0;3.0
13967;13967;24;3;8;33;2750000;916665.666667;2749997.0;0.0;1.0;3.0;0.0;1.0;3.0;2750000;916665.666667;2749997.0
16640;16640;10;1;10;46;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
16686;16686;2;1;2;11;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
16697;16697;6;1;6;26;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
16723;16723;2;1;2;13;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
16743;16743;11;1;11;48;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
16791;16791;7;1;7;28;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
16840;16840;6;1;6;21;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
